"","Compound.Name","nmol.Enviro.med","nmol.Enviro.min","nmol.Enviro.max","nmol.C.med","nmol.C.min","nmol.C.max","mol.C.Fraction.med","mol.C.Fraction.min","mol.C.Fraction.max"
"40","N-acetyltaurine",0.00009692726752902,0.0000424897518904343,0.00492377313350271,0.00038770907011608,0.000169959007561737,0.0196950925340108,0.00000021359955995718,0.0000000624553409431976,0.00000787410962845271
"41","Methylmalonyl carnitine",0.00000845809577786708,0.00000231947314186505,0.000598542949464378,0.0000930390535565378,0.0000255142045605155,0.00658397244410816,0.0000000619155458940821,0.0000000114136164591414,0.00000338040931147991
"42","Methionine Sulfoxide",0.0183434357736212,0.00281940019644231,0.0669988685912828,0.0917171788681058,0.0140970009822116,0.334994342956414,0.0000547961061434303,0.00000512865161266748,0.000193415201865488
"43","Methionine",0.0130304198876898,0.000419558883609447,0.0653107566741171,0.0651520994384488,0.00209779441804724,0.326553783370585,0.0000313945431126874,0.00000165543578798242,0.000120440111437265
"44","MESNA (Sodium 2-mercaptoethanesulfonate)",0.0961044553587116,0.00121774075354388,0.409614997429127,0.192208910717423,0.00243548150708777,0.819229994858255,0.0000861802482631299,0.00000154110776547396,0.000915110780035201
"45","Melamine",0.00148288801787911,0.0000493444606526237,0.00882279992552453,0.00444866405363733,0.000148033381957871,0.0264683997765736,0.0000025145115926958,0.0000000622289596029336,0.0000150011602977351
"46","Malic Acid",0.0387462410697749,0.00996961327854926,0.139786534364496,0.1549849642791,0.039878453114197,0.559146137457985,0.0000788338261910737,0.0000151148894701511,0.000296266584387037
"47","Lysine",0.117383538270819,0.0477972787460345,0.272933899846078,0.704301229624916,0.286783672476207,1.63760339907647,0.000397100415936754,0.0000965048420881377,0.00108942336775522
"48","Lipoic Acid",0.000976982099139264,0.000708812290466524,0.0021582805362967,0.00781585679311411,0.00567049832373219,0.0172662442903736,0.00000346065858830993,0.000000783246836608155,0.0000114284583599881
"49","Leucine",0.752408197849716,0.263056348861049,1.53169297717394,4.51444918709829,1.5783380931663,9.19015786304363,0.00236439877846597,0.000391434982791693,0.0039808150901906
"50","Ketoglutaric Acid",0.00945038267435367,0.000547210112021971,0.0424117622487685,0.0472519133717683,0.00273605056010986,0.212058811243843,0.0000233530109632458,0.00000143346853970969,0.00011143898903391
"51","Isethionic Acid",0.148421740704808,0.0179932350151913,29.5390361471155,0.296843481409615,0.0359864700303826,59.078072294231,0.000126152894909072,0.0000338116878091584,0.02483471582959
"52","Inosine",0.01359336749538,0.00110336564318875,0.129005579746264,0.1359336749538,0.0110336564318875,1.29005579746264,0.0000676069634545846,0.00000870700654578521,0.000694677577068984
"53","Imidazoleacrylic Acid",0.00337330458886309,0.00101390894609461,0.0674525799799365,0.0202398275331785,0.00608345367656765,0.404715479879619,0.0000102354479033853,0.0000042623822903417,0.00020779308970368
"54","Hypoxanthine",6.25564562133349,1.30330293624238,29.3950125951756,31.2782281066674,6.51651468121191,146.975062975878,0.0184225527045791,0.00188269225364844,0.0646571157874958
"55","Hypotaurine",0.0258705123489482,0.000644077470741442,0.40338312658538,0.0517410246978965,0.00128815494148288,0.806766253170759,0.0000233330211404341,0.000000916312433490253,0.00032254562455254
"56","Hydroxylysine",0.00166698258826468,0.000224910784365415,0.0419484382726593,0.0100018955295881,0.00134946470619249,0.251690629635956,0.00000528755868321344,0.000000506298279706754,0.000072208455933951
"57","Hydroxyectoine",0.000409326206478081,0.000101626244069375,0.00386344191908221,0.00245595723886848,0.000609757464416247,0.0231806515144933,0.0000013626009336576,0.000000328346137286106,0.0000114679516122748
"58","Hordenine",0.000124272063892116,0.0000614031376341354,0.000461710158121852,0.00124272063892116,0.000614031376341354,0.00461710158121852,0.00000062522500715087,0.000000124563045682174,0.00000414186141358783
"59","Homarine",1.51959138270117,0.150990078565806,11.6484422730837,10.6371396789082,1.05693054996064,81.5390959115862,0.00473267884336103,0.00163033158709803,0.0399804637674394
"60","Histidine",0.107376131862387,0.0411201251933075,0.238127235805552,0.644256791174325,0.246720751159845,1.42876341483331,0.000335839570879114,0.0000866622920363766,0.000927975851697781
"61","Guanosine",0.00464098621421868,0.000303519016949385,0.0262661190306572,0.0464098621421868,0.00303519016949385,0.262661190306572,0.000021062082009256,0.00000387858730786965,0.000115549635772708
"62","Guanine",1.05156951303401,0.155797216327889,3.36734417867654,5.25784756517002,0.778986081639447,16.8367208933827,0.00260130429964186,0.000624735504660156,0.00803392562364089
"63","Gonyol",0.920264667244815,0.0383236153641824,5.15717567099608,6.4418526707137,0.268265307549277,36.1002296969726,0.00263142931099986,0.000437428973371842,0.0199435163340957
"64","GMP",0.026701789578582,0.00749896039142286,0.0969425146496086,0.26701789578582,0.0749896039142286,0.969425146496086,0.0000965567551496936,0.0000368822826940469,0.000405820375756794
"65","Glycine",0.58023807503591,0.0608004694096497,2.71557324903993,1.16047615007182,0.121600938819299,5.43114649807985,0.000523325827052979,0.000163326926951016,0.00423752929443101
"66","Glycerophosphocholine",0.0426901625842261,0.00344879088719309,0.205153630294771,0.341521300673809,0.0275903270975447,1.64122904235817,0.000121859485025812,0.0000398942132897698,0.000605320834796056
"67","glycerol 3 phosphate",0.0039242467006637,0.000746647039883255,0.103386063863148,0.0117727401019911,0.00223994111964976,0.310158191589443,0.00000551873718197628,0.000000836699612219381,0.000114393061910481
"68","Glutathione Disulfide",0.00326053316271444,0.000414533047526959,0.00901138858703273,0.0652106632542887,0.00829066095053918,0.180227771740655,0.0000257052898198636,0.00000476321947078431,0.0000898430682416251
"69","Glutamine",0.178408133727863,0.018899589026226,0.575901228231916,0.892040668639314,0.0944979451311299,2.87950614115958,0.000378284196672293,0.0000905228899796186,0.00160027906862529
"70","Glutamic acid",1.02068661998405,0.219464451550097,2.5143689327075,5.10343309992023,1.09732225775048,12.5718446635375,0.00260868491753079,0.000658831371026322,0.00476379447918106
"71","Glucosylglycerol",0.0374390287012135,0.000999805008334837,0.356713165548895,0.336951258310921,0.00899824507501353,3.21041848994006,0.000108205601169399,0.00000331916611962832,0.00172876688152212
"72","Glucosamine",0.000443686039055703,0.0000830468808560711,0.0117442725168188,0.00266211623433422,0.000498281285136427,0.0704656351009126,0.00000134969920948667,0.000000143958904653288,0.0000308476723507478
"73","Gluconic Acid",0.000983773652329822,0.000130726229801522,0.0119125829426969,0.00590264191397893,0.000784357378809133,0.0714754976561816,0.00000242665739798109,0.00000036574888880971,0.0000356303468189631
"74","Fumaric Acid",0.0640919508282435,0.0116705853627814,0.531671425947809,0.256367803312974,0.0466823414511257,2.12668570379124,0.000141201749530852,0.0000147850511660459,0.000854997095248886
"75","Ergothioneine",NA,Inf,-Inf,NA,Inf,-Inf,NA,Inf,-Inf
"76","Ectoine",0.0140779793581873,0.00456026875234664,0.0518206004269841,0.0844678761491237,0.0273616125140799,0.310923602561904,0.0000489967595845531,0.00000975003063847583,0.000201855642108605
"77","DMSP",0.298325442179277,0.0538586928297928,1.37655092995313,1.49162721089639,0.269293464148964,6.88275464976566,0.000778595414846834,0.000159744095911748,0.00280444035595393
"78","Dimethylsulfonioacetate (DMS-Ac)",0.0872642130250887,0.00198519310565303,0.313121735600632,0.349056852100355,0.0079407724226121,1.25248694240253,0.000130447324706524,0.00000626631415334422,0.000566571481142015
"79","DHPS",0.0510208625401002,0.000711840569738578,0.865948855973871,0.153062587620301,0.00213552170921573,2.59784656792161,0.0000656776411377221,0.00000348214637743991,0.000958142107275241
"80","Deoxyadenosine",0.00247157330487888,0.000195448513926155,0.0120202890675927,0.0247157330487888,0.00195448513926155,0.120202890675927,0.0000135941796877469,0.00000301482330998045,0.0000605783837570785
"81","Cytosine",0.0400054561676066,0.00641813697320107,0.08443772684345,0.160021824670426,0.0256725478928043,0.3377509073738,0.0000859101728308472,0.0000138243193840437,0.000186392781851563
"82","Cytidine",0.00871031493392415,0.000921056066460061,0.019904455627374,0.0783928344053174,0.00828950459814055,0.179140100646366,0.0000352499364048615,0.00000654150972009005,0.0000800689684934172
"83","Cystine",0.0091235258754642,0.000299301422045632,0.0595288756061707,0.0547411552527852,0.00179580853227379,0.357173253637024,0.000029512994369271,0.00000024804898471985,0.000308466297921694
"84","Cysteic Acid",0.00155911505553641,0.000904057912730178,0.00899294932118343,0.00467734516660923,0.00271217373819054,0.0269788479635503,0.00000227211757656365,0.0000004257560680206,0.0000123713119419807
"85","Cystathionine",0.00108853974708895,0.000206036651664802,0.0113600220211617,0.00761977822962266,0.00144225656165361,0.0795201541481317,0.00000337932472023341,0.000000263034108943929,0.00003498242293687
"86","Cys-Gly oxidized",0.00139861229770388,0.000304814470988513,0.00473596247335682,0.0139861229770388,0.00304814470988513,0.0473596247335682,0.00000722073956539953,0.00000112422181959183,0.0000510874971857597
"87","Creatine",0.0233304519729035,0.00523323746245174,1.48741158444041,0.0933218078916139,0.020932949849807,5.94964633776164,0.0000578531292375975,0.0000073355925151906,0.0032038039831012
"88","Citrulline",0.00955752358096547,0.00083465306988441,0.0373294997830813,0.0573451414857928,0.00500791841930646,0.223976998698488,0.0000241565833125442,0.00000599375098953797,0.000115636669777094
"89","Citric Acid",0.0078005350270678,0.000668350976043729,0.182496259888009,0.0468032101624068,0.00401010585626237,1.09497755932806,0.0000227184143147075,0.000000553902416871551,0.000535163103627417
"90","Choline",1.1050547880957,0.185255015701224,9.34423403487761,5.52527394047852,0.926275078506118,46.721170174388,0.00289242694130832,0.000588182661952121,0.0172317799665388
